9|7|10|0|6 , file disclosure vulnerability information exposure
9|7|10|0|6 , display php error message
9|7|10|0|6 , obtain sensitive browser history request information craft https web site information disclosure vulnerability
0|6|7|9 , run arbitrary command
3|9|7|6|0|1 , authentication bypass bypass authentication routine apid grant unintended administrative access
9|7|10|0|6 , obtain sensitive information sniff network post request
0|6|7 , enable denial service local access
0|6|7|9 , dynamic link library dll hijack vulnerability system load malicious dll file execute arbitrary code
9|7|10|0|6 , obtain sensitive information direct request .php file error message setup controllers/
0|6|7 , command injection
9|7|10|0|6 , obtain confidential information affect device insufficient protection confidential information affect device access local filesystem extract sensitive information view sensitive datum elevate privilege
0|6|7 , unload handler handling display ui non attacker control tab craft html page
9|7|10|0|6 , obtain sensitive information direct request .php file error message module graph jpgraph jpgraph_radar.php
3|9|4|7|0|6 , replace public key decrypt later
3|9|7|6|0|1 , authentication protection bypass bypass windows lock screen detection event
2 , http request parameter information disclosure
10 ,
9|7|10|0|6 , access arbitrary image craft namespace ns parameter
3|9|4|7|0|6 ,
0|6|7 , error logic issuercert account compare involve path libcurl reuse wrong connection issuer cert verify server certificate
0|6|7 , denial service dos attack affect system insufficient validation user provide input permanently degrade functionality affect system
9|7|10|0|6 , obtain sensitive information invalid request error message error.class.php error_handler.class.php
0|6|7 , improper input validation alter data workflow
9|7|10|0|6 , obtain sensitive information
9|7|10|0|6 , information disclosure access datum outside permission level compromise privileged process
0|6|7 , remote code execution
9|7|10|0|6 , obtain installation path host http header
3|9|7|6|0|1 , set arbitrary password account
0|6|7 , execute arbitrary code denial service memory corruption craft web site memory corruption
0|6|7 , denial service restart
3|9|7|6|0|1 ,
0|6|7 , validate certain start length value gain privilege craft application
0|6|7 , validation issue
0|6|7 , improper input validation execute arbitrary code mediaextractor process
9|7|10|5|0|6 , partial secure display touch session tear
0|6|7 , verify content file execute arbitrary script code trust filename
0|6|7 , remote denial service daemon crash long string tcp
9|7|10|0|6 , obtain sensitive information direct request .php file error message includes sef.php
3|9|7|6|0|1 , session fixation accept session parameter request hijack web session unspecified vector
4|0|6|7 , hardcode credential different server gain access complete infrastructure update external issue tracking
9|7|10|0|6 , extract password hash information
5 , memory leak
3|9|7|6|0|1 , authentication proxy denial service device reload craft url
4|0|6|7 , hardcoded root ssh credential login router loss confidentiality integrity availability system bypass
0|6|7 , escalation privilege gain root access cli command copy running- config
10 , world readable /usr smartrtu init settings.xml configuration read sensitive configuration setting sensitive rtu datum insecure permission assignment
9|7|10|0|6 , properly initialize structure contain grant table page domain obtain sensitive information
9|7|10|0|6 , obtain sensitive information
9|7|10|0|6 , import arbitrary file content repository local file information leak
9|7|10|0|6 , compromise oracle hospitality suite8 unauthorized access critical datum complete access
0|6|7 , denial service deep recursion application crash craft regular expression
0|6|7 , incorrect argument function printk input format string attack gain privilege craft application
4|0|6|7 , information disclosure hardcoded username password
3|9|7|6|0|1 , execute control command configuration change api request
3|9|1|4|0|6 , monitor traffic plc controller replay request opening closing industrial valve
2|10|3 , capture victim internet traffic steal viber account close viber
9|7|10|0|6 , leak information kernel internal address confidentiality
0|6|7 , denial service segmentation fault craft file
0|6|7 , denial service ` check`-fail tf.raw_ops
0|6|7 , arbitrary write validate output buffer address value
9|7|10|0|6 , properly sanitize parameter read arbitrary file sign character unspecified post array parameter
3|9|4|7|0|6 , extract recover device password impact confidentiality store password
9|7|10|0|6 , obtain potentially sensitive information read page admin home admin
3|9|7|6|0|1 , properly enforce authentication requirement perform administrative action request management interface
0|6|7 , superuser access sys_obj_save save craft object unauthorized update dm_dbo.dm_user_s set user_privileges=16 rpc save command incomplete fix
0|6|7 , suspend unsuspend operation
3|9|7|6|0|1 , bypass authentication cookie language = en http header
0|6|7 , denial service defect mode transition craft packet
0|6|7 , memory corruption malforme jpeg file
9|7|10|0|6 , obtain list jira project nfj
0|6|7 , bypass aslr protection mechanism craft web site bypass vulnerability
3|9|7|6|0|1 , authentication bypass modify post request login.cgi validate password field control affected device
9|7|10|0|6 ,
0|6|7 , unspecified impact craft requests
9|7|10|0|6 , stack trace certain api request attacker information implementation offering
3|9|7|6|0|1 , authentication bypass smart phone bypass activation function
9|7|10|0|6 , properly restrict access file obtain sensitive information direct request web security incident report websense.ini
9|7|10|0|6 , read arbitrary file craft unix file parameter
9|7|10|0|6 , initialize certain data structure obtain sensitive information kernel stack memory craft use alsa timer interface
9|7|10|0|6 , obtain sensitive information craft application
10 ,
9|7|10|0|6 , information exposure
9|7|10|0|6 , arbitrary file access access arbitrary file access file password key system compromise
9|7|10|0|6 , concurrency issue information leakage
9|7|10|0|6 , privilege escalation trojan horse executable file
9|7|10|0|6 , starttl downgrade attack trigger cleartext xmpp session unspecified vector
5 , regular expression denial service excessive usage resource
9|7|10|0|6 , obtain sensitive information process memory denial service crash craft string length value xkbsetgeometry
9|7|10|0|6 ,
10 , disclose sensitive information incorrect string matching logic disclose store credential compromise
9|7|10|0|6 , gain access user report specially craft http request
9|7|10|0|6 , bounds
9|7|10|0|6 , validate section variable information disclosure code execution sequence
0|6|7 , denial service denial service
9|7|10|0|6 , improper file permission world readable permission utilize file content elevate privilege
9|7|10|0|6 , acquire sensitive system information insufficient protection sensitive file system log confd server execute certain command view configuration parameter
3|9|7|6|0|1 , bypass omp authentication restriction execute omp command craft omp request version information omp_xml_handle_end_element function
0|6|7 , improper input validation return memory range checking
3|9|7|6|0|1 , local remote authentication bypass expose user authentication information
0|6|7|10 , tls ftd bypass configure file policy error handle specific ssl/ send craft http packet bypass configure file policy deliver malicious payload protect network
0|6|7 , denial service properly validate input privileged user guest operating system denial service
9|7|10|0|6 , sensitive information disclosure obtain user sensitive information
0|6|7 , properly handle invalid open square bracket character value denial service malformed $ file index directory traversal attack
9|7|10|0|6 , information exposure detect browser language vector involve iframe element
0|6|7|9 , inadequate account lockout setting brute force account credential
0|6|7 , untrusted search path arbitrary code execution
9|7|10|0|6 , bypass origin policy obtain sensitive information craft web site
0|6|7 , dll injection load development plugin certain directory
9|7|10|0|6 , obtain sensitive information unspecified vector backtrace cmdline environ open_fds map smap hostname remote ks.cfg
4|0|6|7 , read project information
9|7|10|0|6 , read arbitrary file xml external entity declaration conjunction entity reference xml external entity xxe
0|6|7 , denial service deep recursion stack consumption application crash
0|6|7 , validate basic constraint certificate authority mitm attack
0|6|7 , execute arbitrary command system improper validation user supply input
0|6|7 , reject non ascii character e mail address new user account spoof user account choose similar e mail address
0|6|7 , properly handle command send pipe gain privilege craft application
9|7|10|0|6 ,
0|6|7 , hard code path gain elevate privilege execution malicious binary
0|6|7|9 , read arbitrary datum directory file execute arbitrary code
0|6|7 , denial service man middle attack specially craft javascript
0|6|7 , denial service dos insufficient verification parameter smartphone black screen
0|6|7 , improper input validation smuggle request
3|9|7|6|0|1 , bypass api authentication method access personally identifiable user information pii request restricted endpoint access sensitive donor datum
3|9|7|6|0|1 , includes clear certain cache datum bypass authentication create craft wikiuserid wikiusername cookie
9|7|10|0|6 ,
3|9|7|6|0|1 , incorrect access control interfere tracing infection chain create 500 random user
9|7|10|0|6 , information disclosure local malicious application access datum outside compromise privileged process
3|9|4|7|0|6 , discover cleartext login information read local .dat configuration file
0|6|7 , factory reset protection frp
0|6|7 , upload arbitrary file malicious code execute affect
0|6|7 , improper restriction file overwrite local file
0|6|7 , properly validate kernel length read system memory denial service crash craft 32 bit arm guest kernel image buffer overflow
9|7|10|0|6 , ble sniff reverse engineering replay attack
3|9|7|6|0|1 , local authentication bypass
3|9|7|6|0|1 , forge message bypass authentication signature exclusion attack
0|6|7 , properly check page maximum number frame denial service invalid count value use after- free unspecified impact craft javascript code createelement
0|6|7|9 , elevation privilege bypass security prompt work profile local bypass user interaction requirement
0|6|7 , improper access control bluetooth information
9|7|10|0|6 , browser refresh gain access mahara credential
9|7|10|0|6 , arbitrary file overwrite
4|0|6|7 , arbitrary code execution arbitrary code execution
9|7|10|0|6 , reconfigure access control config configuser.htm config configtelnet.htm uri
9|7|10|0|6 , properly handle write hardware fsw.es obtain sensitive register content information pende exception mask bit incorrect fix
0|6|7 , bypass intend memory read restriction craft app
0|6|7 , remote code execution validate input remote code execution
0|6|7 , improper input validation improper input validation provide malicious parameter script retrieve file server
0|6|7|9 , remote denial service specially craft file device hang reboot remote denial service
0|6|7 , path autocompletion gain privilege craft filename double quote character command substitution metacharacter
0|6|7 , improper input sanitization privilege escalation
2 , credential party service
9|7|10|0|6 , obtain sensitive tns information unspecified query
10 , world readable permission obtain sensitive information
0|6|7 , read xml file filesystem manipulate file access potentially sensitive file
0|6|7|9 , denial service access violation local denial service run program user-
0|6|7 , sound soc msm denial service unspecified impact craft parameter datum
9|7|10|0|6 , properly process url datum handler movie file obtain sensitive information uninitialized memory location craft file
9|7|10|0|6 , escalation privilege denial service information disclosure
0|6|7 , create temporary file write arbitrary file symlink attack /tmp
0|9 , supply invalid software update image zingbox inspector command injection
0|6|7 , improperly register global scope unexpected behavior
0|6|7 , properly restrict use frame element clickjacking attack craft web site
0|9 , lack origin authentication remotely replace critical plugin setting bypass payment process spoof order status manually send ipn callback request receive subsequent payment
0|6|7 , reliance cookie validation forge secure host cookie prefix
0|6|7 , bypass protection mechanism execute arbitrary php code null byte file
9|7|10|0|6 , identification de anonymization identification de anonymization monitor traffic positive test de anonymize user correlate radar covid traffic identifiable information access identification information injection dummy traffic
0|6|7|9 , remove default messaging queue system folder unspecified vector
0|6|7 , denial service bsod validate input value
0|9 , renew session variable session fixation hijacking vulnerability utilize cookie
4|0|6|7 , hard code credential /etc passwd file recover cleartext password log gain access underlying embedded linux operating
9|7|10|0|6 , native key press information obtain sensitive information crash report data stream
9|7|10|0|6 , obtain sensitive credential craft soap request getbackuppolicy getbackuppolicie
0|6|7 , unspecified impact
0|6|7 , remote code execution properly validate file path remote code execution
2 , obtain sensitive information properly enable http strict transport security obtain sensitive information
0|6|7 , memory leak denial service memory consumption craft session ticket integrity check
0|6|7 , untrusted search path gain privilege trojan horse dll unspecified directory
9|7|10|0|6 , reveal detail private group merge request template
9|7|10|0|6 , gain unauthorized access system
0|6|7 , dll search order execute arbitrary code specially craft malware
9|7|10|0|6 , view session id
0|6|7 , properly handle dfs referral denial service system crash place referral root share
9|7|10|0|6 , obtain sensitive information direct request .php file error message template schedule.template.php
0|6|7 , send reply dos segmentation fault
0|6|7 , send_secure_msg function validate embed length field message receive device oversize memcpy crash running process denial service
0 , inefficient regular expression complexity
9|7|10|0|6 , information disclosure access datum outside permission level access sensitive datum
9|7|10|0|6 , access sensitive virtual directory information sufficiently protect sensitive datum send craft http request web interface software access sensitive information software additional reconnaissance attack
9|7|10|0|6 , bypass factory reset protection frp
9|7|10|0|6 , properly set oracle ssl service obtain unauthenticated session database replication port obtain sensitive information ssl connection
3|9|7|6|0|1 , register register grant extra privilege
5 , memory leak denial service memory consumption qemu process crash repeatedly unplug usb device
9|7|10|0|6 , printing preference file obtain sensitive information read file
9|7|10|0|6 , acquire information internal network ip address range read new_lan_ip variable error_page.htm page
0|6|7 , logic issue
0|6|7 , execute arbitrary code craft packet
9|7|10|0|6 , permission control access account information password craft url parameter
1|3 , local file inclusion improper limitation pathname index.php
0|6|7 , affected device reload denial service dos condition improper parsing craft cip packet send craft cip packet affect device reload dos condition
0|6|7 , pn dcp affected device reload denial service dos condition improper parsing ingress craft pn dcp identify request packet reload dos condition process profinet message
4|0|6|7 , log jboss administration interface undocumented user credential install additional jee application
9|7|10|0|6 , access arbitrary document craft web site
3|9|7|6|0|1 , improper authentication vulnerability request end cgi script read modify configuration
9|7|10|0|6 ,
9|7|10|0|6 , properly process logging configuration obtain sensitive information read log file
9|7|10|0|6 , obtain information server
9|7|10|0|6 , obtain sensitive information detail project /update.log uri
10 , incorrect default permission cwe-276 insufficient default permission view network configuration
3|9|7|6|0|1 , insufficient authentication vulnerability access device obtain high privilege
9|7|10|0|6 , set custom path adequate protection enforce level define unc path smb relay attack obtain highly sensitive datum information disclosure
0|6|7 , execute arbitrary code unspecified vector bound checking
0|6|7 , bound write improper input validation local escalation privilege
0|6|7|9 , execute arbitrary code craft repository
9|7|10|0|6 , bypass intend access restriction obtain sensitive statistic information unspecified vector
0|6|7 , denial service system crash use af_inet6 socket connection ipv4 interface
9|7|10|0|6 , discover credential password disclosure
0|6|7 , temporary file symlink attack overwrite arbitrary file system
9|7|10|0|6 , obtain sensitive information unspecified vector
9|7|10|0|6 , obtain sensitive kernel memory layout information craft app
0|6|7 , hash value trigger hash collision denial service cpu consumption craft input application
9|7|10|0|6 , read kernel memory cast unsigned long int bound checking
3|9|7|6|0|1 , authentication bypass bypass user authentication unauthorized access
4|0|6|7 , obtain administrative access default privileged account
9|7|10|0|6 , properly implement party advertiser remote web server track user
9|7|10|0|6 , determine existence arbitrary local file vector involve web script error page
4|0|6|7 , hard code credential password cryptographic key outbound communication external component encryption internal datum
0|9 , improper session handling /cgi/ folder /cgi file send header
0|6|7 , untrusted search path gain privilege trojan horse dll unspecified directory
9|7|10|0|6 , obtain sensitive information unspecified vector
0|6|7|9 , affect confidentiality integrity
3|9|7|6|0|1 , bypass authentication lack proper handling cookie execute arbitrary code
0|6|7 , insufficient input validation pass header choice escalate privilege
10 , discover password direct request val_users.php3
9|7|10|0|6 ,
4|0|6|7 , test certificate source repository observe network traffic internal cluster private key decode api request obtain information impersonation active mitm attack
0|6|7 , cn spoof ssl server arbitrary valid certificate
3|9|7|6|0|1 , bypass authentication read arbitrary file unspecified impact logic flaw
0|6|7 , execute arbitrary code crafted embed font
9|7|10|0|6 , information disclosure craft block token unauthorized read access random file guess certain field token
0|6|7 , initiate extension installation user interface craft html page
9|7|10|0|6 , instance rescue spawn image use_cow_images read certain compute host file overwrite instance disk craft image
9|7|10|0|6 , bypass intend restriction persistent device identifier
0|6|7 , execute arbitrary code craft truetype font truetype font parsing
9|7|10|0|6 , obtain information volume
9|7|10|0|6 , obtain sensitive information acp backup short
0|6|7|9 , bypass intend title read restriction parse action api.php
0|6|7 , invalid require_membership_of group accept authentication user bypass intend access restriction
9|7|10|0|6 , access control check
9|7|10|0|6 , information disclosure local malicious application access datum outside
0|6|7 , execute arbitrary plugin
0|6|7 , /tmp onionshare_server.log pathname logging overwrite file obtain sensitive information
0|6|7 , datum store local cache user profile directory write datum local cache locally instal malware startup crash
0|6|7 , reflected file download rfd craft url batch script extension input reflect response
9|7|10|0|6 , error message reveal sensitive information attack system
0|6|7 , change tensorflow ` savedmodel ` protocol buffer alter require key segfault data corruption denial service
9|7|10|0|6 , properly restrict access obtain node title teaser notification email
9|7|10|0|6 , obtain sensitive information memory craft app
0|6|7|9 , incorrect implementation impersonate user include contact social engineering attack
9|7|10|0|6 , obtain sensitive information read syslog message
9|7|10|0|6 , information disclosure improperly handle object memory
3|9|7|6|0|1 , bypass authentication download sensitive information device
0|6|7 , bind access improper validation function table entry
9|7|10|0|6 , insecure memcmp timing attack
0|6|7|9 , improper access control arbitrary code execution server
9|7|10|0|6 , obtain sensitive information kernel memory craft application
0|6|7 , denial service program termination denial service compromise server use man middle
9|7|10|0|6 , discover path direct request include/ downmix.inc.php inc inc_archives_functions.php
0|6|7 , craft dns query trail datum trailing datum smuggle backend
9|7|10|0|6 , data loss prevention ndlp obtain sensitive information
3|9|7|6|0|1 , authentication bypass bypass local security protection
9|7|10|0|6 , ssl unspecified impact time channel attack
0|6|7 , java remote method invocation rmi remote code execution attack inject specially craft serialize object
9|7|10|0|6 , obtain sensitive information bypass unspecified protection mechanism unknown vector
9|7|10|0|6 , account protection bypass local information disclosure
0|6|7 , properly verify sender nameownerchanged signal gain privilege spoof signal
3|9|7|6|0|1 , authorization include valid authcookie cookie http response fail login attempt
9|7|10|0|6 , leak end user public private ip address unsafe default behavior
10 , bind exercise api
4|0|6|7 , bypass user authentication mechanism affect device privileged user account log affected device execute command
0|9 , observe stack trace javascript error leak result cross origin redirect
0|6|7 , denial service flowd crash craft rtsp packet
0|9 , session fixation arbitrary operation unspecified vector
10 , enumerate user
0|6|7 , hijack user session invalidate exist session identifier gain access user session
5 , link list grow unbounded expensive list traversal resource exhaustion denial service
3|9|7|6|0|1 , change password interface outside change password screen enter old password value change password screen
9|7|10|0|6 ,
2 , access jmeterengine send unauthorized code
0|6|7 , incorrect signature validation jwt token
9|7|10|0|6 , properly initialize padding field ethernet packet obtain sensitive information read packet datum
3|9|7|6|0|1 , bypass user authentication gain access administrative user insufficient request header validation send series malicious request affect device gain administrative access
3|9|4|7|0|6 , encrypt password static iv key decrypt method decrypt encrypt password
0|6|7 , execute arbitrary command craft web application parameter
9|7|10|0|6 , phpesp obtain sensitive information direct request .php file error message public landing.php
9|7|10|0|6 , access encrypt sensitive confidential information publicly readable installation log compromise instal cockpit view modify unavailable datum associate cockpit information disclosure
0|6|7 , denial service dos segmentation fault craft elf file
0|6|7 , engine read memory denial service crash
0|6|7 , denial service closing tcp port
3|9|7|6|0|1 , security bypass hardcode credential
0|6|7 , steal asset transfer contract balance account
0|6|7 , bypass httponly flag obtain sensitive information improper validation cookie value character
0|6|7 , improper session handling
0|6|7 , setup frame bbcode injection attack craft uri
9|7|10|0|6 , obtain memory content specially craft application
0|6|7 , open redirect redirect_back_or_default function redirect user arbitrary web site phishing attack url url back_url parameter
9|7|10|0|6 , obtain potentially sensitive information direct request basic.html#ipsettings basic.html#datadelivery
9|7|10|0|6 , properly handle external entity read arbitrary file craft .disco web service discovery
9|7|10|0|6 , traverse file system extract file information disclosure
0|6|7 , elevation privilege file overwrite windows elevation
1|3 , information exposure /usr/ /etc extplorer/ system directory world accessible data leakage information disclosure remote code execution
9|7|10|0|6 , admin_token ldap password plaintext obtain sensitive read log file
9|7|10|0|6 , path disclosure fpd
0|6|7 , remote command execution parameter pollution
0|6|7 , denial service dos condition affect device improper validation request send web interface send malicious request web interface affected device unexpected reload device dos condition
0|6|7 , execute arbitrary command improper validation user supply input log web base management interface supply craft request application execute arbitrary command
0|6|7 , remote code execution
0|6|7 , by- obtain sensitive information process memory denial service crash long string key value avail.c cmd.c config.c extinfo.c histogram.c notifications.c outages.c status.c statusmap.c summary.c trends.c heap base buffer -read
0|6|7 , escalate privilege
0|6|7 , denial service reboot data/ reboot.json
9|7|10|0|6 , obtain sensitive information read file
9|7|10|0|6 , information disclosure improperly handle object memory
9|7|10|0|6 , installation unsigned rpm package installation non trusted package execution arbitrary code
9|7|10|0|6 , read script source code http request slash character beginning uri
0|6|7 , denial service guest os crash craft application
0|6|7 , miss validation mojo sandbox escape craft html page
3|9|7|6|0|1 , read write plc variable
9|7|10|0|6 , obtain sensitive information error message
0|6|7 , remotely execute code root privilege reload affected ip phone miss check process cisco discovery protocol message send craft cisco discovery protocol packet target ip phone remotely execute code root privilege reload affected ip phone denial service dos
3|9|4|7|0|6 , discover password send username parameter conjunction password parameter read html source code response
9|7|10|0|6 , information disclosure local malicious application access datum outside access datum permission
3|9|7|6|0|1 , man- spoof network traffic obtain sensitive information des downgrade spoofing vulnerability
9|7|10|0|6 , obtain sensitive information direct request .php file error message includes functions_feeds.php
9|7|10|0|6 , obtain information specially craft application
9|7|10|0|6 , incorrect access control
9|7|10|0|6 , discover password read screen login procedure
0|9 , session fixation session fixation hijack web session
0|6|7 , improper input validation alter price item
10 , /var run storage_account_root permission
0|6|7|9 , properly implement certain destroy option bypass intend change restriction nested attribute feature
9|7|10|0|6 , properly initialize code segment cs obtain sensitive information kernel stack memory craft application
9|7|10|0|6 , information disclosure issue information disclosure place error message simple typo misspelling
0|6|7 , remote code execution unsafe datum input remote code execution
0|6|7 , denial service assertion failure craft range request
9|7|10|0|6 , obtain potentially sensitive information script access cookie
3|9|4|7|0|6 , unprotected storage credential gain access adrms username password unprotected log file contain plain text
0|6|7 , dcnm directory traversal attack insufficient validation user supply input api craft request api read arbitrary file
0|6|7|9 , incorrect access control promote project milestone
3|9|4|7|0|6 , standard web /cgi bin hi3510 param.cgi?cmd = getuser http request lack authentication check request cgi page
0|6|7 , disable clamav daemon
9|7|10|0|6 , obtain sensitive information weak encryption
0|6|7 , password web service
0|6|7 , dissect_dns_answer denial service application crash craft packet
0|6|7 , denial service
3|9|7|6|0|1 , perform unspecified function unknown vector
9|7|10|0|6 , information disclosure properly handle object memory windows information disclosure
9|7|10|0|6 , information exposure index.php file upload directory
0|6|7|9 , affect confidentiality integrity
9|7|10|0|6 , execute oql query region bind parameter read access object
0|9 , arbitrary dom method getter setter
9|7|10|0|6 , obtain sensitive information stale datum cache serve
9|7|10|0|6 , use disabled cipher defeat cryptographic protection mechanism perform computation sslv2
0|6|7 , system crash improper input validation local denial service
0|6|7 , escalation privilege local access
0|6|7 , input validation validate field specific message send specific message bound read compromising normal service
3|9|7|6|0|1 , authentication bypass execute arbitrary code java management extension jmx
9|7|10|0|6 , obtain sensitive kernel memory layout information craft app
4|0|6|7 , hard code key decrypt
0|6|7 , denial service host os hang
0|6|7 , trigger reload affected device denial service dos condition improper parsing raw socket transport payload establish tcp session send malicious tcp segment
0|6|7 , bounds memory access insufficient input validation craft special packet trigger bounds memory access system exception
9|7|10|0|6 , request access local file access datum website run content script local page permission warning
10 , acceptance subscription request
0|6|7|9 , bypass origin policy craft html page
0|6|7 , mishandle dll loading gain privilege craft application
0|6|7 , craft command nfc tag
9|7|10|0|6 , ignore umask original_filename].swp file world readable
5 , denial service memory leak craft file
0|6|7 , denial service application crash
3|9|7|6|0|1 , parameter
0|6|7 , improper input validation application crash craft email message
9|7|10|0|6 , information disclosure insufficient validation authentication cookie obtain unauthorized access video stream
0|6|7 , properly restrict cross zone drag drop action read cookie file vector involve iframe element src attribute contain file url cookiejacking
0|6|7 , denial service restart
0|6|7 , invoke method setsecuritymanager bypass sandbox protection mechanism incomplete fix
0|6|7 , properly handle user mode input gain privilege craft application scrollbar calculation
9|7|10|0|6 , information disclosure access datum outside permission level compromise privileged process
3|9|7|6|0|1 , authentication bypass escalation privilege
0|6|7 , denial service resource consumption mqtt
9|7|10|0|6 ,
9|7|10|0|6 , openurltobuffertimeout method read arbitrary file file url
0|6|7 , validate string launch program argument injection attack craft url
0|6|7 , bounds access device reset 4 k wallpaper image boundary check
0|6|7 , code injection ` eval ` ` function constructor server security issue ` new func `
0|6|7 , device unexpectedly reload denial service dos condition improper length validation field ipv6 dns packet craft dns query device reload dos condition
0|6|7|9 , compromise solaris unauthorized update insert delete access
0|6|7 , untrusted search path gain privilege trojan horse dll unspecified directory
10 , improper permission management disclosure user habit
0|6|7 , denial service bsod unspecified impact validate input value
9|7|10|0|6 , obtain private content view read cache
0|6|7 , incorrect configuration security setting
4|0|6|7 , hard code ssh key remotely log
9|7|10|0|6 , system privilege escalation connect publicly expose method configure additionalopenvpnparameters control openvpn command line specify dynamic library plugin execute code
10|3 , log plain text database connection password
0|6|7 , properly implement wireless application protocol wap dropdown list denial service application crash craft wap document
1|0|3|9 , spoof security ui craft html page
0|6|7 , incorrectly buffer response datum denial service
9|7|10|0|6 , insecurely pass password command line leak command history process info
0|6|7 , bypass configure user filter device malforme mime header filtering message filter content filter
0|6|7 , admin login page inside frame party html document clickjacking attack craft web site
9|7|10|0|6 , information disclosure access datum outside permission access sensitive datum
4|0|6|7 , log root
9|7|10|0|6 , obtain sensitive information file inclusion attack
0|6|7 , denial service properly validate input privileged user denial service
9|7|10|0|6 , initialize certain structure member obtain sensitive information kernel stack memory craft application
0|6|7 ,
0|6|7 , duplicate packet incorrect behavior denial service
9|7|10|0|6 , gain access unauthorized engine
9|7|10|0|6 , obtain sensitive information process memory craft parameter arraybuffer.slice information disclosure
3|9|4|7|0|6 , insufficiently protect credential remember cookie cb_login null encryption key
0|6|7 , php object injection attack execute arbitrary php code craft serialize object argument parameter ajax api hook decodearguments
0|6|7 , execute arbitrary code design flaw send user email attachment link malicious arf file open file execute arbitrary code
0|6|7 , properly check emulation path denial service host crash
0|6|7|9 , bypass intend servlet filter gain access non root servlet context path
9|7|10|0|6 , xcp obtain sensitive information read file
9|7|10|0|6 ,
0|6|7 , denial service memory consumption xml entity expansion xee attack
0|6|7 , send print job invalid username
0|6|7 , spoof email unspecified vector
0|6|7 , remote code execution
3|9|7|6|0|1 , improper authentication issue bypass authentication uniform resource locator url
0|6|7 , insert arbitrary code validation input value insert malicious command pdls
0|6|7 , miss input validation write fuse
4|0|6|7 , hard code credential http request perform administrative task device retrieve device configuration custom firmware update achieve arbitrary code execution
9|7|10|0|6 , obtain sensitive information direct request .php file error message user tool_settings.inc.php
9|7|10|0|6 , determine validity filename
3|9|7|6|0|1 , improper authentication spoof ip address log file
3|9|4|7|0|6 , set short guessable password
0|6|7 , stage malicious dll search path installer loading malicious dll execute arbitrary code
0|6|7 , cookie management
9|7|10|0|6 , information disclosure access datum outside permission level compromise privileged process
1|0|3|9 , cache poisoning
0|6|7 , change tcp connection establish state denial service sigfpe assertion failure tmm restart
0|6|7 , denial service bsod unspecified impact validate input value
0|6|7 , buffer overflow memory corruption disclosure memory content
0|6|7 , extension header offset receive packet crash bypass packet filter
9|7|10|0|6 , determine existence size arbitrary file
0|6|7 , brute force guessing purchase id
4|0|6|7 , default cryptographic key attacker access linux system
0|6|7 , untrusted search path execute arbitrary code dll hijacking attack trojan horse dll
9|7|10|0|6 , obtain sensitive mqtt topic information
10 , local privilege escalation insecure folder permission
9|7|10|0|6 , initial city recent purchase datum
0|6|7 , denial service daemon restart crafted mq telemetry transport mqtt authentication datum
0|6|7 , unspecified impact vector relate undefined behavior
0|6|7 , rss-newsfeed.php overwrite arbitrary file symlink attack /tmp magpie_cache
3|9|7|6|0|1 , ap forward eapol frame denial service exploit vulnerability
9|7|10|0|6 , open whisper signal information leakage
0|6|7|9 , bypass ipv6 access control list acl improper processing ipv6 traffic send craft ipv6 packet access resource
5 , memory leak denial rsyslogd daemon service crash service repeat log message
3|9|4|7|0|6 , bypass authentication obtain user authentication information
3|9|7|6|0|1 , information disclosure escalation privilege denial service
0|6|7|9 , permission read write access modify binary configuration file local privilege escalation
9|7|10|0|6 , information disclosure improperly provide kernel information
9|7|10|0|6 , obtain sensitive information process memory craft web site
0|6|7 , properly validate login datum denial service service crash send malforme login packet
0|6|7 , open manipulate 3dm file crashing application temporarily unavailable improper input validation
0|6|7 , denial service dos special http request device apply memory unable respond dos attack
0|6|7 , default behavior mysql truncation string create php shell cache directory craft xml import
0|6|7 , variable clash control proxy header redirect collect apm datum
9|3|4|7|0|2|6 , send password unencrypted network
0|6|7 , modify run time data value execute arbitrary code invalid input field
9|7|10|0|6 , bound access compat_hwcap_str crash reboot memory violation bound access
9|7|10|0|6 , hijack environment variable
4|0|6|7 , default credential vulnerability execute arbitrary command compromise system security
0|6|7 , properly validate iokit api denial service assertion failure device crash craft app
3|9|7|6|0|1 , ctl00$mph$txtpassword password form field bypass authentication unattended workstation
10 , remote access gain privileged access affect system configuration error
9|7|10|0|6 , correctly check content pidfile file kill process trick systemd kill service and/or privileged process
0|6|7 , properly process certificate chain denial service daemon crash unspecified vector
0|6|7 , prototype pollution vulnerability attack inject property object.prototype
9|7|10|0|6 , directory traversal direct request listing upload directory
3|9|7|6|0|1 , inject value operations history server write value controlled process
0|6|7 ,
0 , respect flag no_log set true disclose collect sensitive datum
0|6|7 , clickjacking attack miss sameorigin filter
9|7|10|0|6 , obtain sensitive information error message attack system
0|6|7 , domain spoofing craft domain
0|6|7|9 , properly restrict access file gain privilege craft application
3|9|7|6|0|1 , bypass authentication view image
9|7|10|0|6 , sensitive information leak insufficient verification input sensitive information leak
3|9|7|6|0|1 , authentication bypass authenticate arbitrary fingerprint attack interest
9|7|10|0|6 , obtain sensitive information direct request .php file error message template system offline.php
3|9|1|4|0|6 , bypass locking mechanism bluetooth low energy ble replay ciphertext predictable nonce
3|9|1|4|0|6 , improper authorization replay network traffic
9|7|10|0|6 , bearer token arbitrary request obtain sensitive information read authorization header
