7|9|6|0|10 , local privilege escalation
7|6|0 , remote code execution
7|9|6|0|10 , padding oracle attack decrypt username password hash username password decode value
2 , api privilege emulate cisco telepresence server endpoint
7|9|6|0|10 , path disclosure obtain path file
7|9|6|0|10 , cross site scripting xss obtain sensitive information
5 , error receive send short message large memory allocation denial service
7|6|0 , execute arbitrary code
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , information disclosure recover previously use password device
7|9|6|0|10 , cross domain scrolling read content different scrolling event information disclosure
3|7|9|6|4|0 , bypass authentication
7|6|0 , arbitrary delete directory
5 , read_user_chunk_callback function memory leak
7|9|6|0|10 , expose highly sensitive information error log
7|9|6|0|10 , remote web server obtain plaintext datum sniff network
7|6|0 , bounds write craft special packet bounds memory write system exception
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , local malicious application access datum outside permission level access sensitive datum
7|9|6|0|10 , obtain sensitive information
7|6|0 , denial service application crash
7|9|6|0|10 , discover cleartext certificate keystore password
7|6|4|0 , gain access system
7|6|0 , denial service unspecified impact
7|6|0 , execute arbitrary code
7|9|6|0|10 , integer overflow obtain sensitive information bypass unspecified protection mechanism
7|6|0 , denial service bsod unspecified impact
3|7|6|4|0 , access uncontrolled login service gain ssh root access
7|9|6|0|10 , information disclosure
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , generate description meta tag obtain sensitive information
7|6|4|0 , login administrator setting screen change configuration execute arbitrary os command
7|9|6|0|10 , obtain sensitive information
7|6|0 , resource exhaustion remote denial service
7|9|6|0|10 , local malicious application access datum outside
7|6|0 , cross site scripting xss reflect file download rfd attack user interface
3|7|6|9|1|0 , bypass authentication gain administrator access
5 , denial service resource consumption long run sql query
7|6|0 , disrupt service restart
10 ,
7|6|0 , incorrect parsing inject arbitrary type session datum object injection
7|6|0 , remote code execution
5 , overflow server outofmemory error
7|6|0 , infinite loop remote temporary dos
7|9|6|0|10 , obtain installation path
7|6|0 , display spoofed addressbar page
10 , sandbox escape
7|6|0 , spoof ssl server
9|0 , leak cross origin datum
7|9|6|0|10 , information exposure disclosure encrypt credential
7|6|0 , repeat crash internal process denial service dos condition crash repeatedly complete unavailability cisco advanced malware protection performance degradation crash restart repeat dos condition
3|7|6|9|1|0 , use application lock
2 , obtain authentication password
7|9|6|0|10 , timing attack post arbitrary e mail track event
7|6|0 , read memory parent process
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , pointer leak data leakage object content
3|7|9|6|4|0 , plaintext storage password access web application user password
7|9|6|0|10 , view database
7|6|0 , http response splitting attack cross site scripting attack web cache poisoning access sensitive browser base information
7|6|0 , overwrite arbitrary file
7|9|6|0|10 , sensitive information disclosure create task
7|6|9|0 , deny service channel
5 , denial service memory leak
7|6|0 , elevation privilege
7|6|0 , execute arbitrary python code
7|9|6|0|10 , sniff probe request
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , bypass authentication
7|9|6|0|10 , obtain sensitive information
7|6|0 , sip denial service dos dos condition
3|7|6|9|1|0 , read write arbitrary file
7|9|6|0|10 , modify iscsi configuration escalate privilege root
7|6|0 , denial service escalation privilege
7|6|0 , remote code execution hyper v remote code execution
3|7|6|9|1|0 , prevent resumption unauthenticated session bypass authentication
5 , denial of-
7|6|0 , place appropriate directory arbitrary code executable
7|9|6|0|10 , obtain sensitive information
7|6|9|0 , elevation privilege execute arbitrary code local permanent device compromise
3|7|9|6|4|0 ,
9|0 , session fixation hijack valid user session
7|6|0 , memory corruption local escalation privilege
5 , craft post web browser hang
7|9|6|0|10 , obtain sensitive clipboard information
7|9|6|0|10 , display php error message
7|9|6|0|10 , obtain sensitive browser history request information information disclosure vulnerability
7|6|9|0 , run arbitrary command
3|7|6|9|1|0 , authentication bypass bypass authentication routine apid grant unintended administrative access
7|9|6|0|10 , obtain sensitive information
7|6|0 , enable denial service local access
7|6|9|0 , dynamic link library dll hijack vulnerability system load malicious dll file execute arbitrary code
7|9|6|0|10 , obtain sensitive information
7|6|0 , command injection
7|9|6|0|10 , obtain confidential information affect device view sensitive datum elevate privilege
7|6|0 , unload handler handling display ui non attacker control tab
7|9|6|0|10 , obtain sensitive information
3|7|9|6|4|0 , decrypt later
3|7|6|9|1|0 , authentication protection bypass bypass windows lock screen
2 , information disclosure
7|9|6|0|10 , access arbitrary image
7|6|0 , compare involve path libcurl reuse wrong connection issuer cert verify server certificate
7|6|0 , denial service dos attack affect system permanently degrade functionality affect system
7|9|6|0|10 , obtain sensitive information
7|6|0 , alter data workflow
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , access datum outside permission level
7|6|0 , remote code execution
7|9|6|0|10 , obtain installation path
3|7|6|9|1|0 ,
7|6|0 , execute arbitrary code denial service memory corruption memory corruption
7|6|0 , denial service restart
7|6|0 , gain privilege
7|6|0 , validation issue
7|6|0 , execute arbitrary code mediaextractor process
5|7|9|6|0|10 ,
7|6|0 , execute arbitrary script code
7|6|0 , remote denial service daemon crash
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , session fixation hijack web session
7|6|4|0 , gain access complete infrastructure external issue tracking
7|9|6|0|10 , extract password hash information
5 , memory leak
3|7|6|9|1|0 , authentication proxy denial service device reload
7|6|4|0 , hardcoded root ssh credential login router loss confidentiality integrity availability system bypass
7|6|0 , escalation privilege gain root access
10 , world readable /usr smartrtu init settings.xml configuration read sensitive configuration setting sensitive rtu datum
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , import arbitrary file content repository local file information leak
7|9|6|0|10 , compromise oracle hospitality suite8 unauthorized access critical datum complete access
7|6|0 , denial service deep recursion application crash
7|6|0 , printk input format string attack gain privilege
7|6|4|0 , information disclosure hardcoded username password
3|7|6|9|1|0 , execute control command configuration change
3|9|6|1|4|0 , monitor traffic plc controller replay request opening closing industrial valve
3|10|2 , capture victim internet traffic steal viber account close viber
7|9|6|0|10 , leak information kernel internal address confidentiality
7|6|0 , denial service segmentation fault
7|6|0 , denial service
7|6|0 , arbitrary write
7|9|6|0|10 , read arbitrary file
3|7|9|6|4|0 , extract recover device password impact confidentiality store password
7|9|6|0|10 , obtain potentially sensitive information
3|7|6|9|1|0 , perform administrative action
7|6|0 , superuser access rpc save command
7|6|0 , suspend unsuspend operation
3|7|6|9|1|0 , bypass authentication
7|6|0 , denial service defect mode transition
7|6|0 , memory corruption
7|9|6|0|10 , obtain list jira project
7|6|0 , bypass aslr protection mechanism bypass vulnerability
3|7|6|9|1|0 , authentication bypass control affected device
7|6|0 , unspecified impact
7|9|6|0|10 , attacker information implementation offering
3|7|6|9|1|0 , authentication bypass smart phone bypass activation function
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , read arbitrary file
7|9|6|0|10 , obtain sensitive information kernel stack memory
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , information exposure
7|9|6|0|10 , arbitrary file access access arbitrary file access file password key system compromise
7|9|6|0|10 , concurrency issue information leakage
7|9|6|0|10 , privilege escalation
7|9|6|0|10 , starttl downgrade attack trigger cleartext xmpp session
5 , regular expression denial service excessive usage resource
7|9|6|0|10 , obtain sensitive information process memory denial service crash
10 , disclose sensitive information disclose store credential compromise
7|9|6|0|10 , gain access user report
7|9|6|0|10 , bounds
7|6|9|0|10 , information disclosure code execution
7|6|0 , denial service denial service
7|9|6|0|10 , improper file permission utilize file content elevate privilege
7|9|6|0|10 , acquire sensitive system information view configuration parameter
3|7|6|9|1|0 , bypass omp authentication restriction execute omp command
7|6|0 , improper input validation return memory range checking
3|7|6|9|1|0 , local remote authentication bypass expose user authentication information
7|6|10|0 , bypass configure file policy bypass configure file policy deliver malicious payload protect network
7|6|0 , denial service denial service
7|9|6|0|10 , sensitive information disclosure obtain user sensitive information
7|6|0 , denial service malformed $ file index directory traversal attack
7|9|6|0|10 , information exposure detect browser language
7|6|9|0 , brute force account credential
7|6|0 , untrusted search path arbitrary code execution
7|9|6|0|10 , bypass origin policy obtain sensitive information
7|6|0 , dll injection load development plugin certain directory
7|9|6|0|10 , obtain sensitive information
7|6|4|0 , read project information
7|9|6|0|10 , read arbitrary file xml external entity xxe
7|6|0 , denial service deep recursion stack consumption application crash
7|6|0 , mitm attack
7|6|0 , execute arbitrary command system
7|6|0 , spoof user account
7|6|0 , gain privilege
7|6|0 , gain elevate privilege
7|6|9|0 , read arbitrary datum directory file execute arbitrary code
7|6|0 , denial service man middle attack
7|6|0 , denial service dos smartphone black screen
7|6|0 , smuggle request
3|7|6|9|1|0 , bypass api authentication method access personally identifiable user information pii request restricted endpoint access sensitive donor datum
3|7|6|9|1|0 , bypass authentication
3|7|6|9|1|0 , incorrect access control interfere tracing infection chain
7|9|6|0|10 , local malicious application access datum outside compromise privileged process
3|7|9|6|4|0 , discover cleartext login information
7|6|0 , factory reset protection frp
7|6|0 , upload arbitrary file malicious code execute affect
7|6|0 , overwrite local file
7|6|0 , read system memory denial service crash buffer overflow
7|9|6|0|10 , ble sniff reverse engineering replay attack
3|7|6|9|1|0 , local authentication bypass
3|7|6|9|1|0 , forge message bypass authentication signature exclusion attack
7|6|0 , denial service invalid count value use after- free unspecified impact createelement
7|6|9|0 , elevation privilege bypass security prompt work profile local bypass user interaction requirement
7|6|0 , bluetooth information
7|9|6|0|10 , browser refresh gain access mahara credential
7|9|6|0|10 , arbitrary file overwrite
7|6|4|0 , arbitrary code execution arbitrary code execution
7|9|6|0|10 , reconfigure access control
7|6|9|0|10 , obtain sensitive register content information
7|6|0 , bypass intend memory read restriction
7|6|0 , remote code execution remote code execution
7|6|0 , improper input validation provide malicious parameter script retrieve file server
7|6|9|0 , remote denial service device hang reboot remote denial service
7|6|0 , path autocompletion gain privilege command substitution metacharacter
7|6|0 , privilege escalation
2 , credential party service
7|9|6|0|10 , obtain sensitive tns information
10 , obtain sensitive information
7|6|0 , read xml file filesystem manipulate file access potentially sensitive file
7|6|9|0 , denial service access violation local denial service run program user-
7|6|0 , denial service unspecified impact
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , escalation privilege denial service information disclosure
7|6|0 , create temporary file write arbitrary file
9|0 , command injection
7|6|0 , unexpected behavior
7|6|0 , clickjacking attack
9|0 , remotely replace critical plugin setting bypass payment process spoof order status receive subsequent payment
7|6|0 , reliance cookie validation forge secure host cookie prefix
7|6|0 , bypass protection mechanism execute arbitrary php code
7|9|6|0|10 , identification de anonymization identification de anonymization monitor traffic positive test de anonymize user correlate radar covid traffic identifiable information access identification information injection dummy traffic
7|6|9|0 , remove default messaging queue system folder
7|6|0 , denial service bsod
9|0 , session fixation hijacking vulnerability utilize cookie
7|6|4|0 , hard code credential recover cleartext password log gain access underlying embedded linux operating
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , obtain sensitive credential
7|6|0 , unspecified impact
7|6|0 , remote code execution remote code execution
2 , obtain sensitive information obtain sensitive information
7|6|0 , memory leak denial service memory consumption integrity check
7|6|0 , untrusted search path gain privilege
7|9|6|0|10 , reveal detail private group merge request template
7|9|6|0|10 , gain unauthorized access system
7|6|0 , dll search order execute arbitrary code
7|9|6|0|10 , view session id
7|6|0 , denial service system crash
7|9|6|0|10 , obtain sensitive information
7|6|0 , dos segmentation fault
7|6|0 , oversize memcpy crash running process denial service
0 , inefficient regular expression complexity
7|9|6|0|10 , access datum outside permission level access sensitive datum
7|9|6|0|10 , access sensitive virtual directory information access sensitive information software additional reconnaissance attack
7|9|6|0|10 , bypass factory reset protection frp
7|9|6|0|10 , obtain unauthenticated session database replication port obtain sensitive information
3|7|6|9|1|0 , grant extra privilege
5 , memory leak denial service memory consumption qemu process crash
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , acquire information internal network ip address range
7|6|0 , logic issue
7|6|0 , execute arbitrary code
7|9|6|0|10 , permission control access account information password
3|1 , local file inclusion
7|6|0 , affected device reload denial service dos condition affect device reload dos condition
7|6|0 , affected device reload denial service dos condition reload dos condition process profinet message
7|6|4|0 , log jboss administration interface install additional jee application
7|9|6|0|10 , access arbitrary document
3|7|6|9|1|0 , request end cgi script read modify configuration
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , obtain information server
7|9|6|0|10 , obtain sensitive information
10 , incorrect default permission cwe-276 view network configuration
3|7|6|9|1|0 , access device obtain high privilege
7|9|6|0|10 , set custom path define unc path smb relay attack obtain highly sensitive datum information disclosure
7|6|0 , execute arbitrary code bound checking
7|6|0 , bound write local escalation privilege
7|6|9|0 , execute arbitrary code
7|9|6|0|10 , bypass intend access restriction obtain sensitive statistic information
7|6|0 , denial service system crash
7|9|6|0|10 , discover credential password disclosure
7|6|0 , temporary file symlink attack overwrite arbitrary file system
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , obtain sensitive kernel memory layout information
7|6|0 , hash value trigger hash collision denial service cpu consumption
7|9|6|0|10 , read kernel memory bound checking
3|7|6|9|1|0 , authentication bypass bypass user authentication unauthorized access
7|6|4|0 , obtain administrative access
7|9|6|0|10 , remote web server track user
7|9|6|0|10 , determine existence arbitrary local file
7|6|4|0 , outbound communication external component encryption internal datum
9|0 ,
7|6|0 , untrusted search path gain privilege
7|9|6|0|10 , obtain sensitive information
7|6|9|0 , affect confidentiality integrity
3|7|6|9|1|0 , bypass authentication execute arbitrary code
7|6|0 , pass header choice escalate privilege
10 , discover password
7|6|4|0 , observe network traffic internal cluster decode api request obtain information impersonation active mitm attack
7|6|0 , spoof ssl server
3|7|6|9|1|0 , bypass authentication read arbitrary file unspecified impact
7|6|0 , execute arbitrary code
7|9|6|0|10 , information disclosure craft block token unauthorized read access random file
7|6|0 , initiate extension installation user interface
7|9|6|0|10 , instance rescue spawn image read certain compute host file
7|9|6|0|10 , bypass intend restriction
7|6|0 , execute arbitrary code truetype font parsing
7|9|6|0|10 , obtain information volume
7|9|6|0|10 , obtain sensitive information acp backup
7|6|9|0 , bypass intend title read restriction
7|6|0 , invalid require_membership_of group bypass intend access restriction
7|9|6|0|10 ,
7|9|6|0|10 , local malicious application access datum outside
7|6|0 , execute arbitrary plugin
7|6|0 , overwrite file obtain sensitive information
7|6|0 , write datum local cache locally instal malware startup crash
7|6|0 , reflected file download rfd input reflect response
7|9|6|0|10 , reveal sensitive information attack system
7|6|0 , segfault data corruption denial service
7|9|6|0|10 , obtain node title teaser
7|9|6|0|10 , obtain sensitive information memory
7|6|9|0 , impersonate user include contact social engineering attack
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , information disclosure
3|7|6|9|1|0 , bypass authentication download sensitive information device
7|6|0 , bind access
7|9|6|0|10 , timing attack
7|6|9|0 , improper access control arbitrary code execution server
7|9|6|0|10 , obtain sensitive information kernel memory
7|6|0 , denial service program termination denial service compromise server use man middle
7|9|6|0|10 , discover path
7|6|0 , craft dns query trail datum trailing datum smuggle backend
7|9|6|0|10 , data loss prevention ndlp obtain sensitive information
3|7|6|9|1|0 , authentication bypass bypass local security protection
7|9|6|0|10 , unspecified impact time channel attack
7|6|0 , java remote method invocation rmi remote code execution attack
7|9|6|0|10 , obtain sensitive information bypass unspecified protection mechanism
7|9|6|0|10 , account protection bypass local information disclosure
7|6|0 , gain privilege
3|7|6|9|1|0 , authorization
7|9|6|0|10 , leak end user public private ip address
10 , bind exercise api
7|6|4|0 , bypass user authentication mechanism affect device privileged user account log affected device execute command
9|0 , leak result cross origin redirect
7|6|0 , denial service flowd crash
9|0 , session fixation arbitrary operation
10 , enumerate user
7|6|0 , hijack user session gain access user session
5 , link list grow unbounded expensive list traversal resource exhaustion denial service
3|7|6|9|1|0 , change password
2 , access jmeterengine send unauthorized code
7|6|0 , incorrect signature validation jwt token
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , bypass user authentication gain access administrative user gain administrative access
3|7|9|6|4|0 , encrypt password decrypt encrypt password
7|6|0 , execute arbitrary command
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , access encrypt sensitive confidential information compromise instal cockpit view modify unavailable datum associate cockpit information disclosure
7|6|0 , denial service dos
7|6|0 , read memory denial service crash
7|6|0 , denial service closing tcp port
3|7|6|9|1|0 , security bypass
7|6|0 , steal asset transfer contract balance account
7|6|0 , bypass httponly flag obtain sensitive information
7|6|0 ,
7|6|0 , bbcode injection attack
7|9|6|0|10 , obtain memory content
7|6|0 , open redirect redirect user arbitrary web site phishing attack
7|9|6|0|10 , obtain potentially sensitive information
7|9|6|0|10 , read arbitrary file
7|9|6|0|10 , traverse file system extract file information disclosure
7|6|0 , elevation privilege file overwrite windows elevation
3|1 , information exposure world accessible data leakage information disclosure remote code execution
7|9|6|0|10 , obtain sensitive
7|9|6|0|10 , path disclosure fpd
7|6|0 , remote command execution parameter pollution
7|6|0 , denial service dos condition affect device unexpected reload device dos condition
7|6|0 , execute arbitrary command execute arbitrary command
7|6|0 , remote code execution
7|6|0 , by- obtain sensitive information process memory denial service crash heap base buffer -read
7|6|0 , escalate privilege
7|6|0 , denial service reboot
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , information disclosure
7|9|6|0|10 , installation unsigned rpm package installation non trusted package execution arbitrary code
7|9|6|0|10 , read script source code
7|6|0 , denial service guest os crash
7|6|0 , sandbox escape
3|7|6|9|1|0 , read write plc variable
7|9|6|0|10 , obtain sensitive information
7|6|0 , remotely execute code root privilege reload affected ip phone remotely execute code root privilege reload affected ip phone denial service dos
3|7|9|6|4|0 , discover password
7|9|6|0|10 , local malicious application access datum outside access datum permission
3|7|6|9|1|0 , man- spoof network traffic obtain sensitive information spoofing vulnerability
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , obtain information
7|9|6|0|10 , incorrect access control
7|9|6|0|10 , discover password
9|0 , session fixation session fixation hijack web session
7|6|0 , alter price item
10 ,
7|6|9|0 , bypass intend change restriction
7|9|6|0|10 , obtain sensitive information kernel stack memory
7|9|6|0|10 , information disclosure issue information disclosure
7|6|0 , remote code execution remote code execution
7|6|0 , denial service assertion failure
7|9|6|0|10 , obtain potentially sensitive information
3|7|9|6|4|0 , unprotected storage credential gain access adrms username password
7|6|0 , directory traversal attack read arbitrary file
7|6|9|0 , promote project milestone
3|7|9|6|4|0 ,
7|6|0 , disable clamav daemon
7|9|6|0|10 , obtain sensitive information
7|6|0 , password web service
7|6|0 , denial service application crash
7|6|0 , denial service
3|7|6|9|1|0 , perform unspecified function
7|9|6|0|10 , information disclosure windows information disclosure
7|9|6|0|10 , information exposure
7|6|9|0 , affect confidentiality integrity
7|9|6|0|10 , execute oql query read access object
9|0 , arbitrary dom method getter setter
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , use disabled cipher defeat cryptographic protection mechanism
7|6|0 , system crash local denial service
7|6|0 , escalation privilege local access
7|6|0 , input validation bound read compromising normal service
3|7|6|9|1|0 , authentication bypass execute arbitrary code jmx
7|9|6|0|10 , obtain sensitive kernel memory layout information
7|6|4|0 , decrypt
7|6|0 , denial service host os hang
7|6|0 , trigger reload affected device denial service dos condition
7|6|0 , bounds memory access craft special packet trigger bounds memory access system exception
7|9|6|0|10 , request access local file access datum website run content script local page
10 , acceptance subscription request
7|6|9|0 , bypass origin policy
7|6|0 , mishandle dll loading gain privilege
7|6|0 , craft command
7|9|6|0|10 , file world readable
5 , denial service memory leak
7|6|0 , denial service application crash
3|7|6|9|1|0 ,
7|6|0 , improper input validation application crash
7|9|6|0|10 , information disclosure obtain unauthorized access video stream
7|6|0 , read cookie file cookiejacking
7|6|0 , denial service restart
7|6|0 , invoke method setsecuritymanager bypass sandbox protection mechanism
7|6|0 , gain privilege scrollbar calculation
7|9|6|0|10 , access datum outside permission level
3|7|6|9|1|0 , authentication bypass escalation privilege
7|6|0 , denial service resource consumption
7|9|6|0|10 , openurltobuffertimeout method read arbitrary file
7|6|0 , argument injection attack
7|6|0 , bounds access device reset
7|6|0 , code injection server security issue
7|6|0 , device unexpectedly reload denial service dos condition device reload dos condition
7|6|9|0 , compromise solaris unauthorized update insert delete access
7|6|0 , untrusted search path gain privilege
10 , improper permission management disclosure user habit
7|6|0 , denial service bsod unspecified impact
7|9|6|0|10 , obtain private content view
7|6|0 ,
7|6|4|0 , remotely log
7|9|6|0|10 , system privilege escalation connect publicly expose method configure additionalopenvpnparameters control openvpn command line specify dynamic library plugin execute code
3|10 , log plain text database connection password
7|6|0 , denial service application crash
3|9|1|0 , spoof security ui
7|6|0 , incorrectly buffer response datum denial service
7|9|6|0|10 , leak command history process info
7|6|0 , bypass configure user filter device malforme mime header filtering message filter content filter
7|6|0 , clickjacking attack
7|9|6|0|10 , information disclosure access datum outside permission access sensitive datum
7|6|4|0 , log root
7|9|6|0|10 , obtain sensitive information file inclusion attack
7|6|0 , denial service denial service
7|9|6|0|10 , obtain sensitive information kernel stack memory
7|6|0 , incorrect behavior denial service
7|9|6|0|10 , gain access unauthorized engine
7|9|6|0|10 , obtain sensitive information process memory information disclosure
3|7|9|6|4|0 , remember cookie
7|6|0 , php object injection attack execute arbitrary php code
7|6|0 , execute arbitrary code execute arbitrary code
7|6|0 , denial service host crash
7|6|9|0 , bypass intend servlet filter gain access
7|9|6|0|10 , obtain sensitive information
7|6|0 , denial service memory consumption xml entity expansion xee attack
7|6|0 ,
7|6|0 , spoof email
7|6|0 , remote code execution
3|7|6|9|1|0 , improper authentication issue bypass authentication
7|6|0 , insert arbitrary code insert malicious command pdls
7|6|0 , write fuse
7|6|4|0 , perform administrative task device achieve arbitrary code execution
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , determine validity filename
3|7|6|9|1|0 , spoof ip address log file
3|7|9|6|4|0 , set short guessable password
7|6|0 , loading malicious dll execute arbitrary code
7|6|0 , cookie management
7|9|6|0|10 , access datum outside permission level
3|9|1|0 , cache poisoning
7|6|0 , denial service sigfpe assertion failure tmm restart
7|6|0 , denial service bsod unspecified impact
7|6|0 , buffer overflow memory corruption disclosure memory content
7|6|0 , crash bypass packet filter
7|9|6|0|10 , determine existence size arbitrary file
7|6|0 , brute force guessing purchase id
7|6|4|0 , default cryptographic key attacker access linux system
7|6|0 , untrusted search path execute arbitrary code dll hijacking attack
7|9|6|0|10 , obtain sensitive mqtt topic information
10 , local privilege escalation
7|9|6|0|10 ,
7|6|0 , denial service daemon restart
7|6|0 , unspecified impact
7|6|0 , overwrite arbitrary file
3|7|6|9|1|0 , forward eapol frame denial service exploit vulnerability
7|9|6|0|10 , open whisper signal information leakage
7|6|9|0 , bypass ipv6 access control list access resource
5 , memory leak denial rsyslogd daemon service
3|7|9|6|4|0 , bypass authentication obtain user authentication information
3|7|6|9|1|0 , information disclosure escalation privilege denial service
7|6|9|0 , permission read write access modify binary configuration file local privilege escalation
7|9|6|0|10 , information disclosure
7|9|6|0|10 , obtain sensitive information process memory
7|6|0 , denial service service crash
7|6|0 , open manipulate 3dm file crashing application temporarily unavailable
7|6|0 , denial service dos apply memory unable respond dos attack
7|6|0 , truncation string create php shell cache directory
7|6|0 , variable clash redirect collect apm datum
3|7|2|6|9|4|0 , send password unencrypted network
7|6|0 , modify run time data value execute arbitrary code
7|9|6|0|10 , bound access crash reboot memory violation bound access
7|9|6|0|10 , hijack environment variable
7|6|4|0 , execute arbitrary command compromise system security
7|6|0 , denial service assertion failure device crash
3|7|6|9|1|0 , bypass authentication
10 , remote access gain privileged access affect system
7|6|9|0|10 , kill process trick systemd kill service and/or privileged process
7|6|0 , denial service daemon crash
7|6|0 , prototype pollution vulnerability attack inject property object.prototype
7|9|6|0|10 , directory traversal
3|7|6|9|1|0 , inject value operations history server write value controlled process
0 , disclose collect sensitive datum
7|6|0 , clickjacking attack
7|9|6|0|10 , obtain sensitive information attack system
7|6|0 , domain spoofing
7|6|9|0 , gain privilege
3|7|6|9|1|0 , bypass authentication view image
7|9|6|0|10 , sensitive information leak sensitive information leak
3|7|6|9|1|0 , authentication bypass authenticate attack interest
7|9|6|0|10 , obtain sensitive information
3|9|6|1|4|0 , bypass locking mechanism
3|9|6|1|4|0 , replay network traffic
7|9|6|0|10 , bearer token arbitrary request obtain sensitive information
7|6|0 , denial service crash
7|9|6|0|10 , information disclosure
3|7|6|9|1|0 , man- bypass intend access restriction
7|9|6|0|10 , access log file obtain sensitive server information
3|7|6|9|1|0 , obtain sensitive information
7|6|0 , local privilege escalation system arbitrary file deletion dll hijack
7|6|0 , denial service continual focus grab
5 , denial service memory allocation trigger large allocation limit maximum value
7|6|0 , execute arbitrary code template injection
7|6|0 , denial service metro subsystem crash
7|6|0 , bypass security restriction
7|6|0 , core dump memory
7|6|0 , microsoft server block message smb denial service denial service
7|6|0 , denial service
7|6|4|0 , use hard code credential cwe-798 execute unauthorized command root
3|7|6|9|1|0 , bypass authentication change trust relationship
7|6|0 , improper input validation large memory usage denial service
7|6|0 , denial service bsod
7|9|6|0|10 , information disclosure
7|6|0 , dll search order privilege escalation
7|9|6|0|10 , obtain sensitive information
5 , memory leak denial service memory consumption
7|6|0 , directory traversal attack write arbitrary file
7|6|0 , dll search path execute code system
7|6|0 , close authentication denial service infinite loop cpu disk consumption
7|6|0 ,
7|6|0 , execute arbitrary command
3|7|6|9|1|0 , bypass authentication
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , read log file
5 , system denial service
7|9|6|0|10 , enumerate valid meeting id
3|7|6|9|1|0 , internal installation path disclosure
7|6|4|0 , remotely execute arbitrary code
7|6|0 , stack base buffer overflow denial service application crash unspecified impact
7|6|0 , file create file chmod
7|6|0 , denial service daemon hang
3|7|6|9|1|0 , discover username password
7|9|6|0|10 , obtain configuration information
7|6|0 , denial service
7|6|4|0 , integrated user firewall simple integration user profile completely compromise srx series device access user credential gain administrative control user authentication
7|6|0 , execute arbitrary code true type font
7|6|0 , spoof ssl server
3|7|6|9|1|0|10 , view snmpv3 user password
9|0 , escalation privilege
7|6|0 , clickjacking attack delete arbitrary user bypass csrf protection
7|9|6|0|10 , retrieve information address space layout randomization aslr bypass
7|6|0 , denial service daemon crash
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , local malicious application access datum outside
7|6|0 , execute arbitrary code double construction vulnerability
7|9|6|0|10 , local privilege escalation elevate privilege root
7|9|6|0|10 , discover user present database
3|7|6|9|1|0 , http verb tampering
7|6|4|0 , hard code account
7|6|4|0 , use hard code credential gain remote access
7|6|0 , bypass intend access restriction
7|6|0 ,
7|6|0 , buffer overwrite bound memory read
7|6|0 , user interface injection sensitive information disclosure
7|9|6|0|10 , escalation privilege
0 , redos regular expression denial service
7|6|0 , follow symbolic link open fifo expose private datum local user
7|6|0 , denial service memory corruption application crash
7|6|0 , downgrade dnssec secure domain domain hijack
3|7|6|9|1|0 , bypass authentication
3|7|2|6|9|4|0 , elevate privilege
5 , memory leak
7|9|6|0|10 , time channel attack
7|6|0 , remote code execution
7|9|6|0|10 , retrieve video clip image
3|7|9|6|4|0 , discover wi fi credential
7|6|0 , obtain sensitive information kernel memory
7|9|6|0|10 , extract sensitive information local drive
3|7|6|9|4|0|10 , access manager app allow sensitive datum exposure
7|9|6|0|10 , bypass intend memory read restriction
5 , attempt excessive memory allocation
7|6|0 , resource exhaustion remote denial service
7|6|0 , overwrite exist route redirect network traffic
7|9|6|0|10 , read arbitrary file
2 , control remote function agent
7|9|6|0|10 , obtain information
3|7|9|6|4|0 , cleartext password
7|9|6|0|10 , obtain information compromise user system
7|9|6|0|10 , information disclosure access datum outside permission level access sensitive datum
7|9|6|0|10 , view detail user
5 , vsh process build vsh process deplete system memory unexpected system behavior crash vsh process fail delete system wide denial service dos
7|9|6|0|10 , read arbitrary node title
7|6|0 , locator id separation protocol denial service cef outage packet drop
7|9|6|0|10 , obtain sensitive information
7|6|0 , information exposure activate specific function information exposure
7|9|6|0|10 , test existence arbitrary file
5 , remote procedure event management service daemon crash system memory leak denial service dos
