9|10|0|6|7 , file disclosure vulnerability information exposure
3|9|0|6|4|7 , enable information disclosure physical access
0|6|7 , format string denial service crash
9|10|0|6|7 , obtain sensitive information windows dns query
9|10|0|6|7 , capture cookie
3|9|0|6|4|7 , unprotected storage credential gain access confidential information
0|6|7 , dll hijacking attacker privlege escalation
0|6|7 , force upload arbitrary image file
9|10|0|6|7 , information disclosure
0|6|7 , denial service gpf panic
9|10|0|6|7 , obtain potentially sensitive information kernel stack memory
5 , memory leak
0|9 , dns rebinding remote code execution
9|10|0|6|7 , bypass site isolation
0|6|7 , bypass filtering protection bypass filtering deliver malicious request
0|6|7 , unrestricted file upload execute arbitrary code
0|6|7 , denial service service stop oack
9|10|0|6|7 , discover physical location
3|9|1|0|6|7 , execute arbitrary command
3|9|1|0|6|7 , session fixation hijack web session
0|6|7 , execute arbitrary command trigger code execution
0|6|7 , denial service segmentation fault
9|10|0|6|7 , disclose sensitive information
3|0|6|4|7 , bypass captcha protection mechanism brute force attack
0|6|7 , argument injection attack
9|10|0|6|7 , information vulnerability
0|9|6|7 , improper access control reboot discontinue device
5 , denial service memory consumption
9|10|0|6|7 , gain sensitive information
10 , escalate privilege control system
5 , memory leak upload craft xml file system service abnormal run memory
0|6|7 , denial service application crash
0|6|7 , configuration issue
9|10|0|6|7 , javascript map set leak information username embed javascript code
9|10|0|6|7 , bypass certain certificate validation obtain sensitive firmware image ip address datum
0|9|6|7 , bypass authorization
0|6|7 , elevate privilege system loaded process hijacking
0|6|7 , protocol violation
9|10|0|6|7 , disclosure sensitive information
0|9 , read violation render result bitmap image
0|6|7 , bypass input sanitization
3|9|1|0|6|7 , authentication bypass
9|10|0|6|7 , obtain sensitive credential information
0|9|1|3 , html document spoof attack
0|6|7 , overwrite arbitrary file
5 , denial service dos stop plc physical access plc restart application
0|6|7 , snmp application affected device restart unexpectedly snmp application restart multiple time system level restart denial service dos condition
0|6|7 , denial service application crash
10|3 , open wi fi access point obtain wi fi ssid
9|10|0|6|7 , obtain sensitive information bypass intend access restriction
9|10|0|6|7 , obtain potentially sensitive version information
0|6|4|7 , access administrative web interface access administrative web interface
9|10|0|6|7 , obtain sensitive information
0|6|7 , leak user datum
9|10|0|6|7 , information disclosure
9|10|0|6|7 , print dialog
1|3 , overwrite modify sensitive system file overwrite configuration file
9|10|0|6|7 , execute code
0|10|6|7 , replace code trusted library unsandboxed code execution
0|6|7 , unspecified impact remote attack vector
0|6|7 , denial service crash bounds read
0|6|7 , execute arbitrary code
9|10|0|6|7 , compute password day value
0|6|4|7 , outbound communication external component encryption internal datum
0|6|7 , denial service crash
9|10|0|6|7 , obtain password
9|10|0|6|7 , gain unauthorized access system
9|10|0|6|7 , information exposure
9|10|0|6|7 , file read operation
0|6|7 , obtain sensitive information kernel memory denial service bounds read
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , leak 16 bit uninitialized kernel pagedpool datum
10 , permission bypass local escalation privilege background datum usage launch background
10 , broken access control create robot account unauthorized push and/or pull access permission
3|9|1|0|6|7 , information disclosure
9|10|0|6|7 , obtain potentially sensitive debugging information
3|9|1|0|6|7 , log ftp server device log ftp server
0|9|6|7 , navigation url bypass intend access restriction
0|6|7 , establish session signature validation certificate chain validation
9|10|0|6|7 , obtain sensitive amazon ec2 iam instance metadata
9|10|0|6|7 , control runtime
9|10|0|6|7 , obtain sensitive information
0|6|7 , dos vulnerability send malformed system information(si smart phone restart
3|9|1|0|6|7 , bypass authentication
9|10|0|6|7 , permission issue modify protect file system
0|6|7 , denial of- denial of-
0|6|7 , execute arbitrary command cross domain scripting attack
0|6|7 , elevation privilege
0|6|7 , spoof device update status
9|10|0|6|7 , compromise oracle access manager unauthorized read access
3|9|1|0|6|7 , authentication bypass
9|10|0|6|7 , execute reset access information information exposure
9|10|0|6|7 , determine existence arbitrary file
3|9|1|0|6|7 , authentication bypass
0|6|7 , hijack ccguifrm.dll code execution system level code execution
0|6|7 , denial service dos
0|6|7 , gain privilege
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , obtain sensitive information
5 , denial service reload certificate
0|6|7 , denial service heap memory corruption execute arbitrary code
0|9|6|7 , obtain private ssh key
9|10|0|6|7 , obtain sensitive information procurve manager server
10 , send fix email attacker specific recipient
0|6|7 , denial service bsod unspecified impact
0|9|6|7 , gain guest os privilege denial service guest
0|6|7 , spoof ssl server
0|6|7 , remote code execution reboot
0|6|7 , dll search order execute arbitrary code execution compromise folder
0|6|4|7 , control instance csrx deployment
0|6|7 , trigger unintended form submission
0|6|7 , execute arbitrary code
9|10|0|6|7 , disclose sensitive information
9|10|0|6|7 , read local file calculate authorization datum local file inclusion
9|10|0|6|7 , enumerate user account
3|9|1|0|6|7 , authenticate proxy ticket access control restriction access control decision
0|6|7 , search path execute arbitrary local pkcs#11 module
0|6|7 , untrusted search path gain privilege
0|6|7 , write arbitrary file
9|10|0|6|7 , leak memory content information leakage kernel memory kaserver memory
9|10|0|6|7 , determine existence arbitrary file
9|10|0|6|7 , gain privilege
0|6|7 , use string
0|6|7 , denial service
0|6|7 , symlink attack
0|6|7 , flash read rdp degrade
0|6|7 , gain access application server servlet context instantiate arbitrary java object invoke method arbitrary code execution
9|10|0|6|7 , obtain sensitive information
0|6|7 , trigger dos httpd service
0|6|7 , overwrite arbitrary file symlink attack
0|6|7 , dll hijacking
9|10|0|6|7 , information exposure obtain sensitive information
0|6|7 , spoof arbitrary ssl server
0|6|7 , application crash remote denial service
9|10|0|6|7 , obtain sensitive information browse file system
0|9|1|3 , digital signature spoofing spoof xml signature send arbitrary request server
3|9|1|0|6|7 , session fixation hijack web session
0|6|7 , execute arbitrary command
0|6|7 , configuration issue
0|6|7 , os command injection
0|6|4|7 , incorrect access control
5 , memory leak denial service
0|6|7 , denial service application crash
5 , memory leak reload affected device denial service dos condition continuously consume memory reload dos condition
9|10|0|6|7 , access share function
0|6|7 , use after- free vulnerability execute arbitrary code
0|6|7 , send http request internal system ip address blacklisting exfiltrate datum control request header perform internal port enumeration reach internal http resource
0|6|7 , transmit cleartext password obtain sensitive information man middle mitm
9|10|0|6|7 , obtain potentially sensitive information brute force attack real ip address
0|6|7 , denial service application crash
9|10|0|6|7 , read web application configuration file
3|9|1|0|6|7 , man middle attack obtain samsung account token
0|6|7 , affected device reload denial service dos nss core process crash reload dos condition
9|10|0|6|7 , obtain sensitive information kernel heap memory
9|10|0|6|7 , token value
9|10|0|6|7 , access datum outside permission level access sensitive datum
0|9|6|7 , blob url non canonical origin spoof content omnibox url bar
0|6|7 , escape containerization mount namespace breakout write arbitrary file
0|6|7 , denial service
9|10|0|6|7 , near field communication information leak information leak
0|9|6|7 , gain privilege denial service resource consumption unspecified impact
5 , obtain sensitive information color object
0|6|7 , trigger unexpectedly high sound volume
0|6|7 , denial service crash
0|6|7 , denial service client disconnect
0|6|7 , untrusted search path
9|10|0|6|7 , discover cleartext password
0|6|7 , dynamic link library dll dll hijacking attack execute arbitrary code
1|3 , incorrect access delete script gain access sign sql script
9|10|0|6|7 , obtain sensitive information
0|6|7 , insert malicious software execute malicious software
0|6|7 , denial service memory consumption crash xml entity expansion xee attack
3|9|10|0|6|4|7 , obtain sensitive information confidentiality
0|6|7 , telepresence endpoint reload unexpectedly denial service dos condition dos telepresence endpoint
0|6|7 , untrusted search path gain privilege
3|9|1|0|6|7 , authentication bypass manageengine suite compromise
0|6|7 , local privilege escalation gain elevate privilege access restricted system file restricted kernel gain root shell prompt
0|6|7 , execute arbitrary command
9|10|0|6|7 , obtain sensitive information unspecified impact applet execution
3|9|1|0|6|7 , wapploxx authentication bypass attack
9|10|0|6|7 , obtain sensitive information capture cookie obtain sensitive information
0|6|7 , connect secure website secure sockets layer block connection website block connection certain website
3|9|1|0|6|7 , collide identifier_hash gain access user session
9|10|0|6|7 , determine existence restricted directory error message
0|6|7 , denial service dos
9|10|0|6|7 , obtain path web server leak path
0|6|7 , dll hijacking execute malicious code
9|10|0|6|7 , obtain internal ip address server
0|9 , sop bypass address bar spoofing
0|6|7 , dns rebinding
10 , modify main application application configuration file arbitrary code execution
9|10|0|6|7 , obtain sensitive information
0|6|7 , affected device reload denial service dos condition reload dos condition
0|6|7 , device reload denial service dos condition device reload dos condition
0|6|7 , temporary file delete arbitrary file
9|10|0|6|7 , unsafe macro expansion obtain sensitive information
0|6|7 , denial service
0|6|7 , denial service incorrect read operation
10 , use unsafe pendingintent unauthorized action hijack pendingintent
5 , memory leak execute special command memory leaking reset finally
0|6|7 , reject download filename create overwrite file execute arbitrary code
0|6|7 , lsa denial service routing disruption obtain sensitive packet information
3|9|1|0|6|7 , issue valid command dispense currency
10 , exploit incorrectly configure access control security level bypass dlp policy
0|6|7 , denial service device reload
9|10|0|6|7 , obtain title hide album
9|10|0|6|7 , read arbitrary file xml external entity xxe
0|6|7 , reachable assert
3|9|1|0|6|7 , broken authentication accept context jwts send authenticate installation event app
0|6|7 , denial service application crash
0|6|7 , buffer overflow
9|10|0|6|7 , obtain access filesystem
9|10|0|6|7 , information disclosure
0|6|7 , interprocess communication ipc overwrite vpn profile modify vpn profile file
9|10|0|6|7 , escalation privilege local access
0|6|7 , spoof url address bar
0|6|4|7 , obtain access
10 , prevent user outbound send outbound text message
0|6|7 , denial service hang client
9|10|0|6|7 , bounds read
0|6|7 ,
0|9|6|7 , read write arbitrary file
0|6|7 , denial service exc_bad_access application crash
0|6|7 ,
9|10|0|6|7 , information disclosure creation entity
9|10|0|6|7 , bypass intend memory read restriction
5 , memory leak
0|6|7 , spoof ssl server obtain sensitive information
0|6|7 , unspecified impact
9|10|0|6|7 , sniff packet connection uncover datum
0 , denial service
0|6|4|7 , packet decryption obtain cleartext credential
0|9|6|7 , incorrect access control inject arbitrary web script
9|10|0|6|7 , restrict output print_bpf_insn function obtain sensitive address information
2 , observe page cache access pattern process sniffing secret information remote exploitation latency difference
0|6|7 , remote code execution run arbitrary code remote code execution
0|6|7 , unknown impact denial service infinite loop arbitrary code execution memory corruption
0|6|7 , execute arbitrary code
3|9|0|6|4|7 , discover credential
3|9|1|0|6|7 , authentication bypass
3|9|1|0|6|7 , obtain information forge peer device send specific packet affected device connect affected device execute series command
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , access file user access potentially sensitive file
3|9|0|6|4|7 , achieve root access
0|9|6|7 , remote arbitrary command execution
9|10|0|6|7 , obtain sensitive information kernel stack memory
0|6|7 , restart fpc restart crash fpc extend denial service dos condition
9|10|0|6|7 , obtain information
0|6|7 , denial service bsod unspecified impact
9|10|0|6|7 , read sensitive configuration option
0|6|7 , execute arbitrary command
0|6|7 , denial service
3|9|1|0|6|7 , information disclosure
10|3 , man the- mitm
9|10|0|6|7 , information leak bypass referrer policy
0|6|7 ,
0|6|7 , reception private e
0|6|7 , open redirect redirect user arbitrary web site phishing attack
0|6|7 , overwrite arbitrary file symlink attack
0|6|7 , denial service
0|6|7 , download arbitrary file
0|6|7 , dns rebinding
5 , memory leak
0|9 , steal authenticate session
0|6|7 , denial service lmadmin crash
9|10|0|6|7 , bypass aslr protection mechanism
0|6|7 , xml external entity xxe read arbitrary file denial service resource consumption
9|10|0|6|7 , disclosure calendar addressbook
3|9|1|0|6|7 , perform task schema
9|10|0|6|7 , obtain sensitive information
3|9|0|6|4|7 , information disclosure
0|6|7 , remote code execution
9|10|0|6|7 , access datum outside permission level
3|9|1|0|6|7 , authentication bypass
10 , configuration file write non standard location
0|6|7 , execute arbitrary code
0|9|6|7 , bypass authentication
0|6|7 , assertion failure
2 , unencrypted communication
0|6|7 , generate continuous stream warn message denial service disk consumption linux pciback miss sanity check
0|6|7 , bypass verify boot restriction subsequently boot arbitrary image
0|6|7 , obtain sensitive information type confusion
0|6|4|7 , login console
0|6|7 , arbitrary command execution execute arbitrary command
0|6|7 , assert
0|6|7 , compromise secondary process denial service release assertion ui process
0|9|6|7 , execute os command
3|9|1|0|6|7 ,
3|9|1|0|6|7 , login hash log system subsequently login system
9|10|0|6|7 , enumerate account obtain sensitive information
0|6|4|7 , control camera
0|6|7 , denial service null pointer dereference segmentation fault daemon crash
0|9|6|7 , session fixation use existent session id
0|6|7 , denial service device reload
0|6|7 , gain privilege file deletion
0|6|7 , remote code execution remote code execution
9|10|0|6|7 , exposure sensitive information connect attacker specify url
0|6|7 , denial service obtain sensitive information change ownership arbitrary file
0|6|7 , remote code execution execute arbitrary code remote code execution
0|6|7 , denial service device hang
0|6|7 , display ui non attacker control tab
0|6|7 , denial service
0|9 , recover visitor windows username ntlm hash save complete web page save wrong version resource
9|10|0|6|7 , obtain sensitive cross site information
9|10|0|6|7 , verify api token determine api token
0|6|7 , bypass intend access restriction denial service memory corruption
3|9|1|0|6|7 , addupdate action upload calendar aka .ics file arbitrary content
0|6|4|7 , gain privileged access database
9|10|0|6|7 , escalate privilege
9|10|0|6|7 , read arbitrary file
0|9|6|7 , denial service daemon crash
0|6|7 , overwrite arbitrary file
0|6|7 , inconsistent user interface
0|6|7 , evade svg filter
0|6|7 , construct url cache poisoning attack
0|6|7 , open redirect redirect user arbitrary web site phishing attack sharepoint url redirection
0|10|6|7 , protect logs/ folder read log
0|6|7 , execute arbitrary java code
0|6|7 , execute arbitrary code root privilege execute arbitrary code
0|6|4|7 , local escalation privilege
0|6|7 , execute arbitrary command root privilege
9|10|0|6|7 , unauthenticated access sensitive information
10 , add arbitrary malicious executable exclude entire drive
3|9|1|0|6|7 , bypass authentication
10 , incorrect default permission elevate privilege nt authority\system
0|6|7 , denial service reboot
10|3 , read sensitive information log console window
0|6|7 , denial service segmentation fault process crash
0|6|7 , inter access point protocol iapp denial service dos condition reload dos condition
0|6|7 , delete arbitrary file
0|6|4|7 ,
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , connect connect2 content file
9|10|0|6|7 , obtain sensitive memory layout information denial service bounds read
0|6|7 , perform unauthorized command
9|10|0|6|7 , disclose sensitive information execute code
9|10|0|6|7 , obtain sensitive information
2 , discover pin
0|6|7 , execute arbitrary code denial service memory corruption
0|6|7 , search path gain privilege
10|3 , online upgrade information obtain information
0|6|7 , arbitrary kernel write
0|6|7 , execute arbitrary code escalate level privilege
3|9|1|0|6|7 , authentication bypass
0|6|7 , file overwrite
0|6|7 , denial service infinite loop denial service daemon crash
0|6|7 , obtain sensitive information process memory denial service type confusion application crash
0|6|4|7 , execute arbitrary code command
0|6|7 , crlf inject arbitrary http header http response splitting
9|10|0|6|7 , bypass origin policy read xml datum domain
0|6|7 , firmware update arbitrary firmware binary
5 , uncontrolled resource consumption interchassis control protocol iccp interruption unstable control connection traffic loss sustain denial service dos host bind traffic
9|10|0|6|7 , obtain sensitive cache banking information
0|6|7 , simulate hardware error denial service disable apei error injection
0|6|7 , http response splitting inject arbitrary http header crlf sequence populate header http response cross user defacement cache poisoning cross site scripting xss page hijacking
9|10|0|6|7 , obtain sensitive information http internal server error response
0|6|7 , bypass intend access restriction
9|10|0|6|7 , install plugin include specific version activate arbitrary plugin blog attacker install vulnerable plugin
0|6|7 , denial service daemon crash
9|10|0|6|7 , obtain sensitive source code information
3|9|1|0|6|7 , session fixation attack hijack web session
3|9|1|0|6|7 , read write customer administrator datum
0|6|7 , execute arbitrary code
0|6|7 , netscaler file parser crash
3|9|1|0|6|7 , access internal file samsung internet
0|6|7 , spoof appearance url bar
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , read arbitrary file
9|10|0|6|7 , access sensitive information
0|6|7 , denial service imc hang
9|10|0|6|7 , bypass access restriction obtain sensitive information arbitrary file
9|10|0|6|7 , authenticated unrestricted file write write file malicious content remote code execution
9|10|0|6|7 , obtain sensitive information profile
9|10|0|6|7 , client metadata request client detail find registration time location
9|10|0|6|7 , information disclosure
9|10|0|6|7 , obtain value 160 bit
9|10|0|6|7 , uninitialized heap memory flash
3|9|1|0|6|7 , obtain access
0|6|7 , privilege manipulation execute custom binary
0 , password rechecking bypass check
5 , denial service memory leak
3|9|1|0|6|7 , authentication bypass
3|9|1|0|6|7 , escalate privilege reset password execute code
0|6|7 , dll hijacking code execution
0|6|7 , denial service connection database corruption
3|9|1|0|6|7 , connect server obtain sensitive information user account entitlement
0|6|7 , mishandle dll loading gain privilege
0|6|7 , modify arbitrary record
9|10|0|6|7 , view physical path message board leak path
3|9|1|0|6|7 , excessive authentication attempt brute force search guess user password gain access reporter
0|6|7 , change subject body invitation mail social engineering attack
0|6|7 , denial service service crash
9|10|0|6|7 , excessive permission displaylistcache file share retrieve document processing store process document
0|6|7 , remote arbitrary code execution
9|10|0|6|7 , obtain level access view phonebook entry save sms message press grant blueline attack
9|10|0|6|7 , access leak datum
0|6|7 , replay attack packet injection attack man middle attack communicate device crash device stop communicate sma server find sensitive information eavesdrop communication password extract
0|6|7 , stop respond perform commit configuration change denial service dos
3|9|1|0|6|7 , session fixation hijack web session
0|9 , spoof vulnerability
9|10|0|6|7 , obtain sensitive information
3|9|1|0|6|7 , change admin password
9|10|0|6|7 , local malicious application access datum outside
0|6|7 , obtain root access read write corrupt file
0|6|7 , environment variable handling privilege escalation root
9|10|0|6|7 , information leak
5 , consume system memory
0|6|7 , partial remote denial of- restart
0|6|4|7 , obtain access
0|6|7 , gain privilege
9|10|0|6|7 , takeover notification email account
3|9|1|0|6|7 , information exposure instal malicious software obtain information device information disclosure
0|6|7 , open redirect redirect user arbitrary web site phishing attack
3|9|1|0|6|7 , register manage server
0|6|7 , elevation privilege execute arbitrary code compromise privileged process
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , obtain rollback token sensitive information unstripping special page html
0|9 , improper session management modify
0|6|7 , interact i18n angular fill server denial service content injection
0|9|6|7 , elevation privilege execute arbitrary code compromise privileged process
1|3 , overwrite arbitrary file underlie host file system overwrite content arbitrary file
0|6|7 , control function cf instance reload denial service dos unhandled error condition cf instance reload reload disconnection subscriber dos condition
0|6|7 , overwrite arbitrary file
0|6|7 , local privilege escalation dll hijacking bypass hip execute arbitrary code
9|10|0|6|7 , obtain sensitive employee metadata
0|6|7 , denial service application crash
0|9 , previously log user
9|10|0|6|7 , obtain sensitive information memory
0|6|7 , app run different executable place app
0|6|7 , clickjacking attack
0|6|7 , iframe injection perform action
3|9|1|0|6|7 , execute arbitrary code backrush
0|6|7 , denial service host os hang
0|6|7 , denial service daemon crash
9|10|0|6|7 , modify delete inject redirect rule exploit xss loss site availability malicious redirect user infection
3|9|1|0|6|7 , authenticate face id
10|3 , sniff traffic compromise sensitive datum credential
0|6|7 , pfe packet forwarding engine crash
0|9|6|7 , export event datum
0|6|7 , denial service daemon crash infinite loop
9|10|0|6|7 , obtain sensitive information man the- middle mitm
0|6|7 , denial service stack consumption crash excessive memory consumption
0|6|7 , extend expiration date share
9|10|0|6|7 , obtain sensitive kernel information
0|6|7 , denial service use after- free application crash
0|6|4|7 ,
9|10|0|6|7 , obtain sensitive information
3|9|1|0|6|7 , remote unauthenticated access file
9|10|0|6|7 , bypass intend memory read restriction
3|9|0|6|4|7 , brute force attempt
0|6|7 , information disclosure tampering datum denial service
9|10|0|6|7 , obtain sensitive node title
0|9 , guess microsecond time impersonate session
0|6|7 , frmadvancedprotection crash process corruption
0|6|4|7 , insecure proprietary password encryption
0|9 , session fixation
5 , memory leak
9|10|0|6|7 , read arbitrary chart
10 , incorrect default permission elevate permission read protect directory
5 , memory leak
0|6|7 , man middle attack
0|6|7 , bound memory access
0|6|7 , argument injection attack
0|6|7 , denial service
0|6|7 , denial service cpu consumption
9|10|0|6|7 , search privileged page search protect datum
3|9|0|6|4|7 , disclosure master password
9|10|0|6|7 , obtain sensitive information
0|6|7 , assertion abort remote denial service
9|10|0|6|7 , path disclosure
0|6|7 , stale
9|10|0|6|7 , query information service abnormal
3|9|1|0|6|7 , business logic issue authentication bypass recover authentication cookie
0|6|7 , denial service unspecified impact stale pointer
0|6|7 , denial service crash
0|6|7 , load arbitrary share object remote code execution
0|6|7 , denial service crash
0|6|7 , unrestricted file upload upload execute arbitrary code
0|6|7 , remote code execution
0|9|6|7 , overwrite arbitrary css file
3|9|1|0|6|7 , bypass authentication
9|10|0|6|7 , display sensitive information user local information disclosure
0|6|7 , gain privilege symlink attack
3|9|1|0|6|7 , incorrect access control bypass encrption view encrpte article
9|10|0|6|7 , enumerate username denial service hang
0|6|7 , improper input validation gain arbitrary code execution
9|10|0|6|7 , keyboard learn word
3|9|1|0|6|7 , bypass authentication gain administrator privilege
9|10|0|6|7 , response appear send correct response
9|10|0|6|7 , obtain sensitive username information
9|10|0|6|7 , obtain sensitive information
3|0|6|4|7 , brute forcing mfa code brute force mfa login target user
0|6|7 , improper input validation inject insert tag
0|6|7 , execute arbitrary code
0|6|7 , local privilege escalation
9|10|0|6|7 , obtain sensitive information
0|6|7 , invalid memory access send specially craft packet service abnormal
9|10|0|6|7 , user privacy issue passively track
3|9|1|0|6|7 , cut firewall obtain sensitive information
9|10|0|6|7 , obtain potentially sensitive information
0|6|7 , overwrite arbitrary file
0|6|7 , gain privilege
0|6|7 , denial service bsod unspecified impact
0|6|7 , obtain access arbitrary user account alter delete datum
0|6|7 , absolute path traversal write datum arbitrary file
0|9|6|7 , execute arbitrary code
9|10|0|6|7 , obtain sensitive information kernel stack memory
9|10|0|6|7 , obtain access
0|9 , reflect arbitrary origin header value cor misconfiguration security problem
5 , denial service action view consume 100 cpu server unresponsive
9|10|0|6|7 ,
9|10|0|6|7 , data race read information belong user
0|6|7 , authenticated remote code execution
3|9|1|0|6|7 , execute arbitrary code
0|6|7 , illegal address access denial service bounds array access negative integer
3|9|1|0|6|7 , read user detail login victim
0|6|7 , overwrite arbitrary file symlink attack certain temporary file
0|9 , predict session id hijack arbitrary session
9|10|0|6|7 , information disclosure
3|9|1|0|6|7 , authenticate use
0|6|7 , bypass url reputation filter bypass url reputation filter malicious url pass device
0|6|7 , proxy server functionality spoof origin request url forwarding
9|10|0|6|7 , create vm guest vm password leak user
9|10|0|6|7 , enumerate user account
0|6|7 , delete arbitrary file
0|6|7 , crlf inject arbitrary http header http response splitting cross site scripting xss
3|9|0|6|4|7 , obtain configure username password combination obtain expose password credential gain access
0|6|7 , elevation privilege
0|6|7 , execute arbitrary code
0|6|7 , open redirect redirect user arbitrary web site phishing attack
9|10|0|6|7 , read username password
0|6|7 , crlf injection inject arbitrary http header http response splitting
9|10|0|6|7 , course information
9|10|0|6|7 , hijack environment variable
3|9|1|0|6|7 , change password privilege escalation account takeover cherry pick
9|10|0|6|7 , discover cleartext username password
0|6|7 , denial service
9|10|0|6|7 , obtain sensitive information
0|6|7 , bypass header matching rule gain access unauthorized resource
9|10|0|6|7 , graphics device interface gdi obtain sensitive information process memory
9|10|0|6|7 , obtain highly sensitive information
0|9|6|7 , authentication bypass manipulate product registry key
0|6|7 , block dangerous http request header http request splitting http request smuggling attack access arbitrary virtual host bypass referrer restriction bypass origin policy obtain sensitive information
0|6|7 , array index error execute arbitrary code
9|10|0|6|7 , read arbitrary file
0|6|7 , sandbox bypass inject command control terminal
0|6|7 , denial service application crash
9|10|0|6|7 , view jira instance support entitlement number sen
0|6|7 , spoof user gain privilege
0|6|7 , denial service dos condition service device unresponsive dos condition
0|6|7 , denial service device reset
0|6|7 , execute arbitrary code
0|6|7 , denial service
0|6|4|7 , learn information
3|9|1|0|6|7 , session fixation hijack web session
10 , remote code execution
5 , denial service memory consumption
0|6|7 , path traversal command injection attack execute command path traversal read write arbitrary file execute arbitrary command
3|9|1|0|6|7 , unauthorized action
9|10|0|6|7 , obtain database password
3|9|1|0|6|7 , authentication bypass
0|6|7 , gain privilege
0|6|7 , accept invalid certificate
0|6|7 , denial service application crash
0|6|7 , gain privilege
3|9|1|0|6|7 , execute arbitrary code internet authentication service memory corruption
0|6|7 , input validation obtain datum comment space
0|6|7 , modal alert render arbitrary domain follow page navigation spoofing origin modal alert
0|6|7 , access modify memory device service abnormal
3|9|1|0|6|7 , obtain sensitive information delete file execute arbitrary program denial service crash
0|6|7 , denial service guest crash execute arbitrary code use after- free related active qemu timer
0|6|7 , denial service application crash social engineering user fake vnc server hang memory leak
0|6|7 , remote code execution remote code execution
0|6|7 , overwrite arbitrary file
1|3 , perform saveset relate operation unintended manner
3|0|6|4|7 , denial service
0|6|4|7 ,
3|9|1|0|6|7 , pair rogue keypad armed system
0|6|7 , instantiate arbitrary class execute arbitrary code
3|9|0|6|4|7 , bios password extraction extract
9|10|0|6|7 , activation remote tracking defeat product recovery effort
10 , kernel crash escalate permission
0|6|7 , gain privilege
10 , roles compute.oslogin escalate privilege root run docker mount host os modify host os filesystem modify /etc/ gain administrative privilege
9|10|0|6|7 , read file file system
0|6|7 , dll loading gain system privilege
3|9|1|0|6|7 , access account
0|6|7 , spoof url bar
0|6|7 , escalate privilege affect installation execute low privileged code
3|9|0|6|4|7 , bypass authentication
9|10|0|6|7 , information exposure gain privileged access device
0|6|7 , overwrite arbitrary file
2 , retrieve cleartext domain admin credential obtain sensitive information self register read aspect
0|6|7 , enable denial service
0|6|7 , untrusted search path load arbitrary dll file search path
0|6|4|7 , access device
9|10|0|6|7 , bypass access restriction database dump
9|10|0|6|7 , discover text message recipient
3|9|1|0|6|7 , bypass authentication modify setting access connect equipment
9|10|0|6|7 , read user information
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , error message enumerate account
0|6|7 , command execution remote malicious user execute arbitrary code
3|9|0|6|4|7 , apply brute force
0|6|7 , manipulate filtering option inject unvalidated option
9|10|0|6|7 , information disclosure vulnerability
9|10|0|6|7 , compressed inline extent obtain sensitive pre truncation information
0|6|7 , execute arbitrary command
0|6|7 , denial service cpu consumption application hang
0|9|6|7 , bypass authentication restore domino database transaction log backup
9|10|0|6|7 , obtain session information twitter.com web site
10 , list script available
3|9|1|0|6|7 , improper access control access bluetooth information
0|6|7 , format string denial service crash execute arbitrary code
9|10|0|6|7 , information disclosure
0|6|7 , denial service application crash execute arbitrary code
9|10|0|6|7 , read arbitrary file unspecified impact xml external entity xxe
0|6|7 , malicious user provide javascript code steal user information
0|6|7 , spoof address bar
9|10|0|6|7 , obtain sensitive information
0|6|7 , argument injection attack
9|10|0|6|7 , information leak obtain sensitive information cause information leak
0|6|7 , write windows registry heap corruption
0|6|7 , load arbitrary drift file
0|6|7 , remote file inclusion include remotely accessible system file
9|10|0|6|7 , gain privilege
0|6|4|7 , remove case device connect debug port gain privileged access operating system
3|9|1|0|6|7 , obtain sensitive configuration archive log information
0|6|7 , denial service segmentation fault null pointer dereference
0|6|7 , denial service chip card hang
9|10|0|6|7 , ironic api obtain sensitive information register node
0|6|7 , cookie injection
9|10|0|6|7 , obtain sensitive information
0|6|7 , unrestricted file upload overwrite arbitrary file
0|6|7 , remote code execution hyper v remote code execution
3|9|0|6|4|7 , obtain sensitive information
0|9|6|7 , read write arbitrary file
3|9|1|0|6|7 , bypass authentication
0|9|6|7 , access webapp directory content
0|6|7 , remotely activate rule firewall connect tcp port protect asset bypass firewall
0|6|7 , execute arbitrary code
0|6|7 , access exchange traffic
5 , memory leak partial denial service dos condition
9|10|0|6|7 , obtain sensitive information /var log/
0|6|7 , inject arbitrary xml command
0|6|7 , remote code execution remote code execution
9|10|0|6|7 , world readable access obtain sensitive information
3|9|1|0|6|7 , enumerate manage device
0|6|7 , execute arbitrary code message deserialization
0|6|7 , unserialize arbitrary php object
9|10|0|6|7 , compromise oracle tuxedo unauthorized access critical datum complete access
9|10|0|6|7 , elevation privilege
9|10|0|6|7 , disable frame navigation bypass origin policy
9|10|0|6|7 , obtain x api key value
10 , permission bypass local escalation privilege
5 , terminate state terminate state denial service dos access network clear subscriber send spoof packet persistent denial service compromise
1|3 , use siri interact whatsapp application
9|8 , remote code execution remote code execution
3|9|1|0|6|7 , brute force password guess attack
3 , brute force speed attack
0|6|7 , gain privilege
